I0,I1,I2,I3,I4,I5,I6,I7,I8,new_col
6.641594,25.322605,1.181023,-0.00601,3.6e-05,-4.517329,0.924995,0.379992,9.760512,1
6.675827,25.277641,1.181028,0.005731,3.3e-05,-0.530355,0.924997,0.379974,9.8,1
6.641823,25.314495,1.181004,-0.006706,4.5e-05,-1.254147,0.924973,0.380005,9.79282,1
6.614761,25.315639,1.180978,-0.002969,9e-06,0.71981,0.924978,0.38002,9.76141,1
6.584961,25.353226,1.180987,0.006094,3.7e-05,7.28555,0.924981,0.380022,10.063846,1
6.536491,25.331947,1.180872,-0.040681,0.001655,-5.292331,0.924922,0.380164,8.777821,1
6.501213,25.285606,1.18067,-0.001095,1e-06,19.537893,0.924892,0.380256,9.925641,1
6.610222,25.216585,1.180925,0.053032,0.002812,-1.056881,0.924958,0.379998,9.327051,1
6.648232,25.303261,1.181063,0.014298,0.000204,1.353348,0.92501,0.379942,9.318077,1
6.682884,25.418907,1.180955,-0.033946,0.001152,-4.402992,0.924939,0.380122,10.174231,1
6.485489,25.34893,1.180762,-0.011186,0.000125,10.45129,0.924896,0.380223,10.020769,1
6.551277,25.290657,1.18081,0.022204,0.000493,6.476547,0.924929,0.380124,9.571154,1
6.612473,25.23814,1.18101,0.035841,0.001285,2.096069,0.92499,0.379966,9.528077,1
6.695641,25.323536,1.18112,0.003226,1e-05,-9.738137,0.925032,0.379889,9.667179,1
6.622894,25.361532,1.181082,-0.018835,0.000355,-5.594325,0.925018,0.37996,9.852948,1
6.594711,25.356482,1.180965,-0.020961,0.000439,-0.714796,0.924973,0.380061,9.886153,1
6.673584,25.281315,1.180979,0.017639,0.000311,0.61263,0.924994,0.379984,9.730897,1
6.716698,25.284784,1.181083,0.012258,0.00015,-3.091069,0.925018,0.379915,9.847564,1
6.679779,25.336197,1.181043,-0.017267,0.000298,-4.602026,0.925003,0.379992,9.805385,1
6.67627,25.299963,1.180967,0.000598,0.0,7.307129,0.924974,0.380022,9.627692,1
6.738983,25.258257,1.181094,0.023506,0.000553,0.794051,0.925022,0.379877,9.531667,1
6.781876,25.341843,1.181112,-0.015887,0.000252,-6.611082,0.925029,0.379937,9.79641,1
6.674667,25.36676,1.180943,-0.033055,0.001093,0.471691,0.924949,0.380099,9.865513,1
