I0,I1,I2,I3,I4,I5,I6,I7,I8,new_col
-84.505539,-3.899542,-0.142974,-0.005938,3.5e-05,-1.009806,-0.142487,0.989795,9.750641,0
-84.634888,-3.929996,-0.142965,0.006757,4.6e-05,0.952019,-0.142475,0.989798,9.741667,0
-84.693161,-3.930373,-0.14296,0.007022,4.9e-05,5.51562,-0.142473,0.9898,9.785641,0
-84.811874,-3.923128,-0.142957,0.002413,6e-06,4.669537,-0.142471,0.989799,9.730897,0
-84.898209,-3.911316,-0.142962,-0.002704,7e-06,-0.0128,-0.142484,0.989797,9.709359,0
-85.06424,-3.925485,-0.142973,0.002326,5e-06,1.08769,-0.142486,0.989797,9.704871,0
-85.167969,-3.92725,-0.142996,0.003745,1.4e-05,6.461324,-0.142513,0.989793,9.735384,0
-85.335495,-3.917882,-0.142994,-0.000554,0.0,-3.37173,-0.142507,0.989792,9.728205,0
-85.541168,-3.948931,-0.142991,0.011886,0.000141,4.795378,-0.1425,0.989795,9.716538,0
-85.638519,-3.923935,-0.142978,0.001476,2e-06,-3.058323,-0.142495,0.989795,9.66,0
-85.775665,-3.914119,-0.142987,-0.002604,7e-06,-2.627424,-0.142504,0.989794,9.644743,0
-85.986938,-3.910657,-0.143008,-0.005024,2.5e-05,0.615964,-0.142532,0.989791,9.734487,0
-86.179718,-3.897012,-0.143047,-0.011367,0.000129,-2.309275,-0.142568,0.989785,9.715641,0
-86.341278,-3.909835,-0.143097,-0.006162,3.8e-05,0.976144,-0.142609,0.989778,9.690513,0
-86.57988,-3.897311,-0.143147,-0.011261,0.000127,2.721202,-0.142658,0.989769,9.634871,0
-86.757629,-3.906198,-0.143202,-0.008522,7.3e-05,-0.099995,-0.142713,0.98976,9.633974,0
-86.930984,-3.882108,-0.143296,-0.018878,0.000356,-2.25191,-0.142848,0.989745,9.651923,0
-87.184677,-3.899139,-0.143396,-0.011487,0.000132,1.376935,-0.142905,0.989733,9.669871,0
-87.394012,-3.884773,-0.143494,-0.018202,0.000331,1.367899,-0.143033,0.989718,9.683333,0
-87.594452,-3.883295,-0.143593,-0.018096,0.000327,-1.380562,-0.143119,0.989705,9.631282,0
-87.786087,-3.865495,-0.1437,-0.024002,0.000576,-4.489443,-0.143248,0.989687,9.694102,0
-88.03923,-3.879432,-0.143824,-0.01966,0.000387,1.382205,-0.143328,0.989669,9.635769,0
-88.266815,-3.863092,-0.143964,-0.024425,0.000597,-0.672144,-0.143467,0.989648,9.662692,0
-88.503677,-3.875592,-0.144084,-0.018344,0.000336,-1.976623,-0.143586,0.989632,9.774872,0
-88.74527,-3.839235,-0.144221,-0.031475,0.000991,-5.997845,-0.143768,0.989612,9.79282,0
-88.951218,-3.858155,-0.144337,-0.022424,0.000503,-3.785858,-0.143875,0.989596,9.848461,0
-89.157532,-3.868647,-0.144435,-0.014488,0.00021,1.934399,-0.143949,0.989585,9.773077,0
-89.416595,-3.880573,-0.144518,-0.008828,7.8e-05,3.517078,-0.144035,0.989573,9.744359,0
-89.608871,-3.857207,-0.144604,-0.017393,0.000303,1.731353,-0.144101,0.989559,9.832308,0
-89.914444,-3.881988,-0.144668,-0.006442,4.1e-05,2.03872,-0.144183,0.989551,9.79641,0
-89.988068,-3.867261,-0.144715,-0.007192,5.2e-05,-2.327369,-0.14421,0.989545,9.903205,0
-90.201538,-3.871717,-0.144744,-0.003023,9e-06,-1.139659,-0.144243,0.989542,9.931923,0
-90.37149,-3.881676,-0.144729,0.004958,2.5e-05,-2.709234,-0.144224,0.989545,9.924744,0
-90.55957,-3.862508,-0.144741,-0.003038,9e-06,0.927853,-0.144244,0.989542,9.953462,0
-90.688416,-3.866187,-0.144777,-0.001398,2e-06,0.006081,-0.14428,0.989537,9.906795,0
-90.873444,-3.863379,-0.144809,-0.001226,2e-06,3.137661,-0.144304,0.989533,9.83859,0
-91.079987,-3.824187,-0.144836,-0.009855,9.7e-05,-2.890971,-0.144368,0.989524,9.800898,0
-91.171539,-3.85273,-0.144921,-0.004302,1.9e-05,5.262152,-0.144414,0.989517,9.735384,0
-91.263397,-3.851297,-0.144934,-0.002849,8e-06,1.127683,-0.144427,0.989514,9.653718,0
-91.389496,-3.829563,-0.144972,-0.011342,0.000129,-2.300983,-0.144483,0.989507,9.584615,0
-91.497711,-3.823866,-0.14504,-0.013563,0.000184,-0.322058,-0.14454,0.989499,9.597179,0
-91.593597,-3.82358,-0.145106,-0.013977,0.000195,-3.443099,-0.14462,0.989487,9.476923,0
-91.684875,-3.812139,-0.145195,-0.017984,0.000323,-0.690358,-0.144685,0.989473,9.56218,0
